iter	Passed	Remaining
139	3224	19805
140	3250	19800
141	3277	19803
142	3304	19802
143	3332	19807
144	3356	19794
145	3382	19784
146	3407	19772
147	3434	19770
148	3471	19826
149	3501	19841
150	3533	19868
151	3559	19857
152	3584	19845
153	3610	19833
154	3636	19822
155	3663	19822
156	3692	19824
157	3716	19806
158	3742	19795
159	3768	19784
160	3795	19776
161	3820	19763
162	3846	19752
163	3869	19727
164	3896	19719
165	3920	19699
166	3947	19688
167	3974	19684
168	3999	19664
169	4024	19646
170	4048	19628
171	4074	19612
172	4100	19601
173	4126	19588
174	4153	19581
175	4179	19567
176	4208	19567
177	4232	19544
178	4259	19538
179	4284	19517
180	4313	19517
181	4340	19507
182	4358	19458
183	4383	19438
184	4409	19426
185	4437	19420
186	4462	19399
187	4487	19382
188	4512	19362
189	4536	19338
190	4560	19315
191	4585	19295
192	4610	19277
193	4636	19261
194	4659	19236
195	4683	19210
196	4710	19201
197	4739	19196
198	4762	19171
199	4789	19157
200	4814	19138
201	4835	19103
202	4859	19079
203	4883	19055
204	4908	19034
205	4933	19014
206	4959	18999
207	4985	18982
208	5009	18960
209	5035	18941
210	5058	18916
211	5084	18899
212	5111	18885
213	5138	18874
214	5162	18847
215	5187	18828
216	5212	18807
217	5237	18789
218	5261	18762
219	5288	18751
220	5313	18729
221	5339	18711
222	5363	18688
223	5390	18674
224	5414	18649
225	5440	18631
226	5464	18608
227	5491	18593
228	5516	18574
229	5540	18549
230	5563	18521
231	5591	18508
232	5619	18497
233	5644	18476
234	5667	18450
235	5693	18430
236	5719	18412
237	5744	18392
238	5769	18371
239	5796	18356
240	5823	18339
241	5848	18318
242	5872	18293
243	5897	18272
244	5923	18253
245	5945	18223
246	5971	18205
247	5996	18182
248	6023	18167
249	6049	18147
250	6073	18124
251	6103	18116
252	6131	18104
253	6155	18079
254	6180	18055
255	6205	18033
256	6225	17997
257	6251	17980
258	6276	17956
259	6304	17942
260	6330	17924
261	6356	17905
262	6380	17880
263	6406	17860
264	6432	17841
265	6459	17823
266	6486	17807
267	6509	17780
268	6535	17759
269	6558	17732
270	6583	17710
271	6609	17691
272	6635	17671
273	6659	17646
274	6684	17622
275	6708	17597
276	6734	17578
277	6760	17557
278	6785	17534
279	6810	17512
280	6836	17491
281	6862	17473
282	6889	17454
283	6917	17440
284	6941	17414
285	6967	17395
286	6992	17371
287	7020	17357
288	7045	17333
289	7070	17311
290	7095	17288
291	7122	17270
292	7149	17252
293	7173	17226
294	7197	17199
295	7222	17176
296	7248	17157
297	7272	17132
298	7298	17111
299	7323	17089
300	7350	17069
301	7377	17052
302	7402	17029
303	7429	17010
304	7453	16983
305	7479	16964
306	7505	16942
307	7533	16925
308	7557	16899
309	7581	16874
310	7620	16882
311	7660	16891
312	7687	16872
313	7714	16854
314	7738	16828
315	7765	16807
316	7805	16817
317	7833	16799
318	7856	16773
319	7884	16753
320	7912	16737
321	7937	16713
322	7964	16692
323	7988	16667
324	8013	16644
325	8038	16618
326	8063	16595
327	8089	16572
328	8114	16549
329	8143	16533
330	8171	16515
331	8198	16495
332	8221	16467
333	8248	16448
334	8272	16422
335	8298	16400
336	8326	16381
337	8353	16360
338	8379	16338
339	8404	16314
340	8430	16293
341	8454	16265
342	8480	16244
343	8508	16224
344	8533	16201
345	8559	16178
346	8584	16154
347	8609	16130
348	8634	16106
349	8659	16082
350	8682	16053
351	8707	16029
352	8731	16004
353	8758	15982
354	8780	15952
355	8808	15933
356	8833	15910
357	8860	15889
358	8884	15862
359	8910	15840
360	8933	15812
361	8960	15792
362	8985	15768
363	9013	15748
364	9038	15724
365	9063	15699
366	9087	15673
367	9113	15650
368	9140	15630
369	9167	15609
370	9192	15585
371	9216	15558
372	9241	15534
373	9265	15508
374	9292	15488
375	9317	15462
376	9342	15438
377	9368	15416
378	9395	15394
379	9420	15371
380	9446	15347
381	9470	15321
382	9496	15298
383	9522	15276
384	9547	15251
385	9571	15225
386	9598	15203
387	9626	15183
388	9652	15160
389	9676	15135
390	9703	15113
391	9728	15088
392	9754	15065
393	9779	15042
394	9807	15022
395	9831	14995
396	9857	14972
397	9881	14946
398	9907	14923
399	9931	14897
400	9959	14877
401	9985	14853
402	10009	14828
403	10034	14802
404	10058	14776
405	10080	14748
406	10105	14724
407	10132	14702
408	10160	14681
409	10182	14652
410	10208	14629
411	10235	14607
412	10260	14583
413	10287	14561
414	10313	14538
415	10340	14516
416	10365	14492
417	10391	14468
418	10416	14444
419	10441	14418
420	10468	14397
421	10492	14371
422	10517	14346
423	10542	14321
424	10569	14300
425	10593	14273
426	10652	14295
427	10676	14268
428	10711	14257
429	10738	14234
430	10764	14210
431	10791	14189
432	10821	14170
433	10845	14144
434	10870	14119
435	10907	14109
436	10933	14085
437	10965	14070
438	10992	14047
439	11018	14023
440	11042	13996
441	11067	13972
442	11093	13948
443	11121	13926
444	11146	13902
445	11170	13875
446	11196	13851
447	11222	13827
448	11246	13801
449	11269	13773
450	11295	13749
451	11322	13727
452	11349	13704
453	11373	13678
454	11401	13656
455	11425	13629
456	11451	13606
457	11475	13580
458	11502	13557
459	11526	13531
460	11552	13507
461	11576	13480
462	11602	13457
463	11628	13433
464	11656	13411
465	11682	13386
466	11706	13360
467	11731	13335
468	11757	13312
469	11785	13289
470	11813	13267
471	11846	13251
472	11870	13226
473	11896	13201
474	11922	13177
475	11947	13152
476	11974	13128
477	12002	13107
478	12029	13083
479	12052	13057
480	12076	13030
481	12102	13006
482	12129	12983
483	12156	12959
484	12183	12936
485	12206	12909
486	12234	12887
487	12258	12861
488	12285	12837
489	12311	12813
490	12338	12790
491	12364	12766
492	12391	12743
493	12418	12719
494	12444	12696
495	12470	12671
496	12494	12645
497	12520	12620
498	12546	12596
499	12569	12569
500	12595	12545
501	12620	12519
502	12645	12494
503	12670	12469
504	12697	12445
505	12720	12419
506	12747	12395
507	12771	12369
508	12799	12347
509	12822	12319
510	12850	12297
511	12873	12269
512	12901	12247
513	12924	12220
514	12949	12195
515	12974	12170
516	13000	12145
517	13023	12118
518	13049	12093
519	13073	12067
520	13098	12042
521	13125	12018
522	13168	12010
523	13194	11985
524	13217	11958
525	13242	11933
526	13267	11908
527	13294	11884
528	13319	11859
529	13345	11834
530	13369	11808
531	13397	11785
532	13421	11759
533	13447	11735
534	13474	11711
535	13514	11699
536	13540	11674
537	13563	11647
538	13589	11623
539	13616	11598
540	13640	11573
541	13664	11547
542	13688	11520
543	13714	11495
544	13738	11470
545	13773	11452
546	13801	11429
547	13827	11404
548	13851	11379
549	13877	11354
550	13902	11328
551	13926	11302
552	13951	11277
553	13976	11252
554	14000	11225
555	14029	11203
556	14054	11177
557	14080	11153
558	14108	11130
559	14134	11105
560	14161	11081
561	14186	11056
562	14212	11032
563	14237	11006
564	14262	10980
565	14286	10954
566	14314	10931
567	14356	10918
568	14381	10893
569	14404	10866
570	14429	10841
571	14455	10816
572	14480	10791
573	14505	10765
574	14530	10740
575	14556	10714
576	14580	10689
577	14605	10663
578	14634	10640
579	14660	10616
580	14684	10590
581	14709	10564
582	14733	10538
583	14762	10515
584	14789	10491
585	14813	10465
586	14839	10440
587	14863	10414
588	14889	10390
589	14914	10364
590	14942	10340
591	14968	10315
592	14993	10290
593	15018	10265
594	15059	10250
595	15083	10224
596	15108	10198
597	15132	10172
598	15158	10148
599	15182	10121
600	15209	10097
601	15233	10071
602	15258	10046
603	15283	10020
604	15311	9996
605	15337	9971
606	15361	9946
607	15388	9921
608	15413	9895
609	15439	9871
610	15466	9847
611	15491	9821
612	15516	9795
613	15541	9770
614	15565	9744
615	15595	9721
616	15620	9696
617	15644	9670
618	15671	9645
619	15696	9620
620	15722	9595
621	15745	9568
622	15775	9546
623	15802	9521
624	15828	9496
625	15855	9472
626	15877	9445
627	15904	9421
628	15929	9395
629	15954	9370
630	15980	9345
631	16006	9320
632	16031	9294
633	16055	9268
634	16079	9242
635	16105	9217
636	16131	9192
637	16158	9168
638	16187	9145
639	16214	9120
640	16239	9094
641	16262	9068
642	16289	9043
643	16317	9020
644	16350	8998
645	16374	8973
646	16404	8950
647	16429	8924
648	16455	8899
649	16480	8873
650	16502	8847
651	16526	8820
652	16551	8795
653	16573	8768
654	16600	8743
655	16624	8717
656	16649	8692
657	16673	8666
658	16697	8640
659	16720	8613
660	16746	8588
661	16770	8562
662	16796	8537
663	16820	8511
664	16847	8487
665	16872	8461
666	16901	8438
667	16926	8412
668	16952	8387
669	16976	8361
670	17002	8336
671	17027	8310
672	17053	8285
673	17075	8259
674	17101	8233
675	17125	8207
676	17150	8182
677	17173	8156
678	17198	8130
679	17222	8104
680	17247	8079
681	17271	8053
682	17299	8029
683	17323	8003
684	17349	7978
685	17373	7952
686	17400	7927
687	17425	7902
688	17450	7876
689	17476	7851
690	17502	7826
691	17526	7800
692	17551	7775
693	17575	7749
694	17601	7724
695	17627	7699
696	17652	7673
697	17677	7648
698	17703	7623
699	17728	7597
700	17753	7572
701	17781	7548
702	17809	7523
703	17841	7501
704	17865	7475
705	17889	7449
706	17915	7424
707	17939	7398
708	17967	7374
709	17994	7349
710	18017	7323
711	18042	7298
712	18068	7273
713	18093	7247
714	18119	7222
715	18146	7197
716	18171	7172
717	18197	7147
718	18221	7121
719	18246	7095
720	18270	7070
721	18298	7045
722	18325	7021
723	18351	6995
724	18376	6970
725	18400	6944
726	18428	6920
727	18451	6893
728	18478	6869
729	18502	6843
730	18530	6818
731	18556	6793
732	18581	6768
733	18607	6743
734	18636	6719
735	18662	6694
736	18685	6668
737	18708	6641
738	18734	6616
739	18760	6591
740	18785	6566
741	18812	6541
742	18836	6515
743	18863	6490
744	18888	6465
745	18912	6439
746	18938	6414
747	18965	6389
748	18991	6364
749	19017	6339
750	19042	6313
751	19068	6288
752	19095	6263
753	19119	6237
754	19148	6213
755	19174	6188
756	19199	6162
757	19224	6137
758	19250	6112
759	19276	6087
760	19303	6062
761	19332	6038
762	19359	6013
763	19384	5987
764	19411	5963
765	19437	5937
766	19462	5912
767	19489	5887
768	19514	5861
769	19541	5836
770	19565	5811
771	19592	5786
772	19618	5761
773	19644	5735
774	19672	5711
775	19694	5685
776	19720	5659
777	19745	5634
778	19770	5608
779	19795	5583
780	19822	5558
781	19846	5532
782	19871	5507
783	19896	5481
784	19923	5456
785	19947	5430
786	19977	5406
787	20004	5381
788	20029	5356
789	20055	5331
790	20079	5305
791	20107	5280
792	20133	5255
793	20160	5230
794	20187	5205
795	20212	5180
796	20238	5154
797	20262	5129
798	20291	5104
799	20316	5079
800	20343	5054
801	20368	5028
802	20393	5003
803	20419	4977
804	20443	4952
805	20468	4926
806	20492	4901
807	20518	4875
808	20543	4850
809	20568	4824
810	20593	4799
811	20619	4773
812	20645	4748
813	20670	4723
814	20695	4697
815	20722	4672
816	20747	4647
817	20773	4621
818	20800	4596
819	20825	4571
820	20852	4546
821	20876	4520
822	20900	4495
823	20923	4469
824	20948	4443
825	20973	4418
826	20999	4392
827	21024	4367
828	21051	4342
829	21076	4316
830	21101	4291
831	21126	4265
832	21154	4240
833	21178	4215
834	21202	4189
835	21227	4164
836	21259	4140
837	21287	4115
838	21312	4089
839	21338	4064
840	21363	4039
841	21388	4013
842	21416	3988
843	21441	3963
844	21468	3938
845	21494	3912
846	21521	3887
847	21543	3861
848	21570	3836
849	21595	3810
850	21620	3785
851	21646	3760
852	21671	3734
853	21695	3708
854	21718	3683
855	21742	3657
856	21770	3632
857	21797	3607
858	21824	3582
859	21848	3556
860	21873	3531
861	21900	3506
862	21927	3480
863	21952	3455
864	21977	3430
865	22003	3404
866	22028	3379
867	22054	3353
868	22078	3328
869	22101	3302
870	22127	3277
871	22154	3252
872	22180	3226
873	22206	3201
874	22234	3176
875	22258	3150
876	22285	3125
877	22310	3100
878	22338	3074
879	22362	3049
880	22386	3023
881	22410	2998
882	22436	2972
883	22460	2947
884	22485	2921
885	22510	2896
886	22537	2871
887	22562	2845
888	22587	2820
889	22611	2794
890	22638	2769
891	22662	2743
892	22687	2718
893	22713	2693
894	22738	2667
895	22764	2642
896	22788	2616
897	22814	2591
898	22839	2565
899	22865	2540
900	22891	2515
901	22916	2489
902	22942	2464
903	22968	2439
904	22994	2413
905	23019	2388
906	23047	2363
907	23072	2337
908	23094	2311
909	23118	2286
910	23148	2261
911	23173	2236
912	23199	2210
913	23224	2185
914	23249	2159
915	23276	2134
916	23299	2108
917	23325	2083
918	23350	2058
919	23375	2032
920	23401	2007
921	23427	1981
922	23453	1956
923	23479	1931
924	23503	1905
925	23527	1880
926	23553	1854
927	23580	1829
928	23604	1804
929	23630	1778
930	23655	1753
931	23681	1727
932	23708	1702
933	23734	1677
934	23760	1651
935	23784	1626
936	23811	1600
937	23836	1575
938	23863	1550
939	23886	1524
940	23913	1499
941	23938	1473
942	23962	1448
943	23987	1422
944	24013	1397
945	24039	1372
946	24065	1346
947	24092	1321
948	24117	1296
949	24143	1270
950	24171	1245
951	24197	1220
952	24226	1194
953	24249	1169
954	24278	1144
955	24304	1118
956	24331	1093
957	24362	1068
958	24389	1042
959	24413	1017
960	24440	991
961	24463	966
962	24490	940
963	24515	915
964	24541	890
965	24564	864
966	24589	839
967	24614	813
968	24643	788
969	24669	762
970	24696	737
971	24722	712
972	24748	686
973	24774	661
974	24799	635
975	24825	610
976	24852	585
977	24875	559
978	24899	534
979	24926	508
980	24951	483
981	24975	457
982	25001	432
983	25028	406
984	25054	381
985	25075	356
986	25099	330
987	25125	305
988	25150	279
989	25176	254
990	25201	228
991	25226	203
992	25252	178
993	25276	152
994	25300	127
995	25326	101
996	25354	76
997	25379	50
998	25406	25
999	25433	0
