iter	RMSE
555	467919.5766
556	467732.4953
557	467616.3682
558	467368.8349
559	467232.3589
560	467034.5571
561	466949.6718
562	466702.2965
563	466611.8503
564	466440.7039
565	466329.2666
566	465785.3176
567	465580.0768
568	465546.6376
569	465334.705
570	465236.1763
571	464836.6116
572	464802.1941
573	464725.4083
574	464358.4131
575	464058.8262
576	463861.9576
577	463797.368
578	463724.4044
579	463423.8368
580	463340.9054
581	462947.784
582	462704.6606
583	462522.1502
584	462401.8622
585	462279.3066
586	462202.387
587	462109.276
588	461596.0086
589	461478.636
590	461131.0507
591	461008.8122
592	460838.7932
593	460538.6968
594	460512.5244
595	460260.6169
596	460226.778
597	460123.8831
598	460063.1047
599	459943.0889
600	459688.3254
601	459445.1067
602	459188.2935
603	459095.7584
604	458851.012
605	458678.5438
606	458562.9802
607	458065.6653
608	457777.6969
609	457337.3062
610	457262.2095
611	457178.5081
612	456929.2182
613	456863.2419
614	456592.0474
615	456163.4041
616	456153.5909
617	455832.9372
618	455787.8324
619	455732.8991
620	455690.5
621	455624.0197
622	455289.0532
623	455224.5679
624	455029.0603
625	454954.8483
626	454915.2928
627	454626.3066
628	454224.8936
629	454209.7518
630	454069.6293
631	454043.2923
632	453932.3699
633	453753.8632
634	453579.2801
635	453225.1796
636	452999.5411
637	452743.6885
638	452685.6254
639	452438.4984
640	452300.6087
641	452008.6266
642	451586.1137
643	451381.0793
644	450959.2714
645	450830.1028
646	450722.9029
647	450403.1832
648	450277.7268
649	450240.913
650	450180.6575
651	450089.2773
652	450055.0952
653	449982.7103
654	449870.4035
655	449666.5648
656	449369.5545
657	449097.8303
658	448958.444
659	448757.883
660	448574.632
661	448515.0194
662	448098.5653
663	447870.6522
664	447658.8948
665	447487.7092
666	447282.4755
667	447227.2475
668	447100.1516
669	447034.4571
670	446982.3505
671	446800.4964
672	446713.6708
673	446553.4494
674	446248.5113
675	446156.1302
676	446015.2495
677	445865.4918
678	445805.2739
679	445715.0481
680	445611.2698
681	445351.5813
682	445160.2117
683	445073.8901
684	444793.472
685	444732.1546
686	444699.6235
687	444326.2202
688	444296.4424
689	444237.0638
690	444077.0704
691	443972.0227
692	443890.5944
693	443762.4104
694	443681.595
695	443672.6311
696	443354.7755
697	443231.2355
698	443153.8829
699	442920.8627
700	442586.5241
701	442503.8717
702	442180.5956
703	442035.7964
704	441927.0238
705	441800.4752
706	441769.2184
707	441719.5983
708	441667.135
709	441529.3821
710	441396.8349
711	441302.8795
712	441162.245
713	441118.556
714	441010.9225
715	440693.9227
716	440554.7635
717	440304.3811
718	440237.6553
719	440066.3399
720	439999.1365
721	439865.0456
722	439573.3605
723	439452.1257
724	439304.069
725	439156.5972
726	438972.6028
727	438943.8919
728	438837.7507
729	438787.0217
730	438666.632
731	438557.301
732	438447.6622
733	438136.9045
734	438096.562
735	437756.0585
736	437728.7781
737	437703.0512
738	437583.3462
739	437540.4052
740	437190.2809
741	437117.214
742	437074.8149
743	436788.1166
744	436779.7625
745	436701.7506
746	436632.2274
747	436356.3002
748	436290.5195
749	436178.4385
750	436001.1509
751	435978.65
752	435589.1865
753	435531.9652
754	435453.2737
755	435246.1659
756	435040.7042
757	434660.1715
758	434353.2347
759	434160.7922
760	434002.9269
761	433852.8742
762	433732.483
763	433624.8683
764	433370.991
765	433263.2486
766	433220.566
767	433059.7074
768	432990.6318
769	432703.2054
770	432680.1198
771	432487.4277
772	432244.567
773	432108.7347
774	432047.4745
775	431927.9411
776	431713.9025
777	431308.1079
778	431286.4491
779	431250.2141
780	431229.9738
781	431080.2132
782	430974.7013
783	430801.425
784	430585.2645
785	430330.6025
786	430125.3107
787	430089.069
788	430022.6622
789	429829.8968
790	429582.1402
791	429556.8459
792	429487.6652
793	429379.401
794	429282.9928
795	429234.3911
796	429204.5605
797	429126.6004
798	429040.6369
799	429009.9534
800	428797.7322
801	428662.4089
802	428651.6732
803	428568.7326
804	428396.7231
805	428335.1777
806	428309.6529
807	428250.9304
808	428190.6156
809	427970.3907
810	427732.788
811	427685.8156
812	427435.879
813	427222.7964
814	427070.1257
815	426879.4264
816	426836.923
817	426767.5872
818	426528.2152
819	426284.9999
820	426026.6244
821	425938.8324
822	425824.6549
823	425782.3817
824	425716.5401
825	425279.2549
826	425055.9641
827	425023.5259
828	424653.8228
829	424569.7064
830	424321.4149
831	424096.9337
832	423996.0488
833	423843.4606
834	423824.5651
835	423630.6304
836	423450.0546
837	423411.4251
838	423220.9525
839	423165.5757
840	422853.6361
841	422831.6569
842	422750.7175
843	422611.1561
844	422410.0167
845	422156.265
846	422049.9913
847	422032.0952
848	421861.4611
849	421830.6371
850	421567.4075
851	421533.8371
852	421480.7728
853	421439.7943
854	421403.8464
855	421352.4076
856	421278.3814
857	421040.7762
858	421034.1686
859	421017.6748
860	420755.022
861	420736.1335
862	420497.5037
863	420456.0965
864	420106.9957
865	420081.4477
866	420032.9077
867	419932.6211
868	419917.8227
869	419822.5621
870	419708.8026
871	419492.8204
872	419329.6401
873	419277.9711
874	419139.2588
875	418867.6756
876	418793.4078
877	418745.2777
878	418725.952
879	418490.9957
880	418431.5345
881	418130.9762
882	417692.3387
883	417573.7513
884	417495.5625
885	417365.12
886	417167.928
887	417006.617
888	416959.5963
889	416712.5819
890	416592.9745
891	416543.3598
892	416314.0546
893	416263.4314
894	416196.2454
895	416087.4632
896	415925.0251
897	415671.0789
898	415600.5955
899	415415.921
900	415324.8126
901	415303.1406
902	415229.0819
903	415009.0169
904	414891.2872
905	414562.1224
906	414413.3587
907	414173.6118
908	414152.7782
909	413972.588
910	413914.9475
911	413893.3173
912	413791.7716
913	413543.275
914	413502.8157
915	413299.6786
916	413257.2306
917	413187.0333
918	412967.7801
919	412930.1867
920	412906.4017
921	412839.5629
922	412751.1513
923	412429.1537
924	412292.0451
925	412253.0171
926	412146.6054
927	411887.0012
928	411868.5668
929	411774.4677
930	411630.4398
931	411546.2801
932	411437.0757
933	411036.4468
934	410983.8618
935	410900.0107
936	410792.4152
937	410702.6312
938	410557.7289
939	410516.5553
940	410266.1124
941	410133.0937
942	409932.4267
943	409780.679
944	409638.3614
945	409418.68
946	409355.3085
947	409300.3798
948	409179.3121
949	409115.9449
950	409053.4325
951	409003.2212
952	408920.041
953	408711.0893
954	408564.4283
955	408506.8583
956	408296.6934
957	408092.0643
958	407892.4601
959	407735.3372
960	407557.6229
961	407386.9443
962	407314.3825
963	407178.2483
964	406954.6828
965	406702.533
966	406586.6838
967	406465.8565
968	406413.6379
969	406338.0845
970	406245.501
971	406042.3803
972	406013.4829
973	405888.6418
974	405834.7819
975	405576.5804
976	405323.8398
977	405032.8891
978	404976.5166
979	404928.4247
980	404741.7962
981	404579.357
982	404279.0668
983	404207.8567
984	404037.8526
985	404001.6726
986	403789.4612
987	403707.285
988	403526.1722
989	403461.6544
990	403274.797
991	403228.6302
992	403192.3373
993	403158.788
994	403076.3567
995	402986.5229
996	402934.5308
997	402897.2163
998	402667.1164
999	402600.6652
